<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BAB,20171228,23.0000,23.0000,23.0000,23.0000,20000
BAB,20171229,25.0000,25.0000,25.0000,25.0000,30000
BAB,20180102,26.0000,26.0000,26.0000,26.0000,99000
BAB,20180103,26.0000,26.0000,26.0000,26.0000,0
BAB,20180104,25.5000,25.5000,25.5000,25.5000,50000
BAB,20180105,25.5000,25.5000,25.5000,25.5000,100000
BAB,20180108,26.5000,26.5000,25.2000,25.2000,38800
BAB,20180109,26.0000,26.0000,24.0000,24.0000,73000
BAB,20180110,24.5000,24.5000,24.5000,24.5000,20000
BAB,20180111,24.5000,24.5000,24.5000,24.5000,0
BAB,20180112,25.0000,25.0000,25.0000,25.0000,50000
BAB,20180115,28.7000,28.7000,26.6000,26.6000,30500
BAB,20180116,24.5000,24.5000,24.5000,24.5000,50000
BAB,20180117,24.5000,24.5000,24.5000,24.5000,50000
BAB,20180118,24.5000,24.5000,24.5000,24.5000,50000
BAB,20180119,24.5000,24.5000,24.5000,24.5000,70000
BAB,20180122,24.5000,24.5000,24.5000,24.5000,10000
BAB,20180123,25.0000,25.0000,25.0000,25.0000,150000
BAB,20180124,25.3000,26.4000,25.3000,26.4000,28500
BAB,20180125,26.5000,26.9000,26.5000,26.9000,45400
BAB,20180126,28.0000,28.0000,24.3000,24.8000,65200
BAB,20180129,24.4000,24.7000,24.4000,24.7000,45000
BAB,20180130,24.1000,24.1000,24.0000,24.0000,42200
BAB,20180131,23.8000,24.6000,23.8000,24.6000,58800
BAB,20180201,24.7000,24.7000,24.7000,24.7000,45400
BAB,20180202,24.1000,24.1000,24.1000,24.1000,66800
BAB,20180205,24.2000,26.0000,24.2000,24.4000,51000
BAB,20180206,23.0000,23.0000,22.5000,22.5000,73500
BAB,20180207,22.8000,23.3000,22.8000,23.3000,72300
BAB,20180208,23.0000,23.0000,22.8000,23.0000,59000
BAB,20180209,22.5000,22.9000,22.5000,22.9000,66400
BAB,20180212,22.7000,23.0000,22.7000,23.0000,52600
BAB,20180213,22.6000,23.1000,22.5000,23.1000,60200
BAB,20180221,22.7000,23.0000,22.7000,23.0000,36300
BAB,20180222,22.5000,23.1000,22.5000,23.1000,49900
BAB,20180223,22.6000,23.1000,22.6000,23.1000,59400
BAB,20180226,23.1000,23.2000,23.1000,23.2000,52800
BAB,20180227,23.0000,23.2000,23.0000,23.2000,54000
BAB,20180228,23.2000,23.3000,23.2000,23.3000,30200
BAB,20180301,22.8000,23.5000,22.8000,23.5000,40400
BAB,20180302,22.9000,23.0000,22.8000,23.0000,39300
BAB,20180305,22.8000,23.6000,22.8000,23.0000,46800
BAB,20180306,23.0000,23.1000,23.0000,23.1000,54000
BAB,20180307,23.0000,23.1000,22.8000,22.8000,46900
BAB,20180308,22.9000,22.9000,22.8000,22.8000,24300
BAB,20180309,22.8000,22.9000,22.8000,22.9000,49600
BAB,20180312,22.8000,23.0000,22.8000,23.0000,36000
BAB,20180313,22.8000,23.0000,22.8000,23.0000,42900
BAB,20180314,22.9000,23.0000,22.9000,23.0000,76700
BAB,20180315,23.0000,23.1000,23.0000,23.1000,43500
BAB,20180316,23.0000,23.0000,23.0000,23.0000,31000
BAB,20180319,23.1000,23.1000,23.1000,23.1000,30100
BAB,20180320,23.1000,23.1000,23.1000,23.1000,35800
BAB,20180321,23.1000,23.1000,23.1000,23.1000,31400
BAB,20180322,23.1000,23.6000,23.1000,23.1000,37200
BAB,20180323,23.1000,23.1000,23.1000,23.1000,11600
BAB,20180326,23.1000,23.3000,23.1000,23.2000,35800
BAB,20180327,23.1000,23.3000,23.1000,23.3000,18500
BAB,20180328,22.8000,22.8000,22.7000,22.7000,54500
BAB,20180329,22.8000,22.8000,22.7000,22.7000,39700
BAB,20180330,22.8000,22.8000,22.7000,22.8000,47600
BAB,20180402,22.7000,23.5000,22.7000,23.5000,33800
BAB,20180403,22.7000,22.8000,22.7000,22.8000,50700
BAB,20180404,22.7000,22.7000,22.7000,22.7000,18100
BAB,20180405,22.7000,22.8000,22.7000,22.8000,17900
BAB,20180406,22.7000,22.8000,22.7000,22.8000,38500
BAB,20180409,22.6000,22.7000,22.6000,22.7000,36800
BAB,20180410,22.6000,22.7000,22.6000,22.7000,39700
BAB,20180411,22.9000,22.9000,22.9000,22.9000,12900
BAB,20180412,22.8000,22.8000,22.7000,22.7000,32100
BAB,20180413,22.7000,22.9000,22.7000,22.9000,36700
BAB,20180416,22.7000,22.7000,22.7000,22.7000,12400
BAB,20180417,22.7000,22.7000,22.7000,22.7000,18400
BAB,20180418,22.7000,22.7000,22.6000,22.6000,34500
BAB,20180419,22.7000,22.7000,22.6000,22.7000,43900
BAB,20180420,22.7000,22.7000,22.7000,22.7000,34500
BAB,20180423,22.7000,22.7000,22.6000,22.6000,35100
BAB,20180424,22.7000,22.8000,22.7000,22.8000,33200
BAB,20180426,22.7000,22.7000,22.6000,22.6000,26600
BAB,20180427,22.6000,22.6000,22.6000,22.6000,15400
BAB,20180502,23.2000,23.2000,22.7000,22.7000,18600
BAB,20180503,22.6000,22.6000,22.6000,22.6000,26800
BAB,20180504,22.6000,22.6000,22.6000,22.6000,32300
BAB,20180507,22.6000,22.6000,22.6000,22.6000,27500
BAB,20180508,22.6000,22.6000,22.6000,22.6000,25900
BAB,20180509,22.7000,22.7000,22.7000,22.7000,9100
BAB,20180510,23.2000,23.2000,23.2000,23.2000,200
BAB,20180511,22.6000,22.6000,22.5000,22.5000,30400
BAB,20180514,22.5000,22.5000,22.5000,22.5000,30500
BAB,20180515,22.5000,22.5000,22.4000,22.4000,23600
BAB,20180516,22.5000,22.5000,22.4000,22.4000,31200
BAB,20180517,22.4000,22.4000,22.4000,22.4000,32200
BAB,20180518,22.4000,22.4000,22.4000,22.4000,15200
BAB,20180521,22.4000,22.4000,22.4000,22.4000,22900
BAB,20180522,22.4000,22.4000,22.3000,22.3000,24600
BAB,20180523,22.4000,22.4000,22.4000,22.4000,11200
BAB,20180524,22.4000,22.4000,22.3000,22.3000,18800
BAB,20180525,22.3000,22.3000,22.3000,22.3000,15700
BAB,20180528,22.3000,22.3000,22.2000,22.2000,18600
BAB,20180529,22.2000,22.4000,22.2000,22.4000,20700
BAB,20180530,22.3000,22.3000,22.3000,22.3000,8500
BAB,20180531,22.3000,22.4000,22.2000,22.4000,32700
BAB,20180601,22.3000,22.3000,22.2000,22.2000,24000
BAB,20180604,22.2000,22.4000,22.2000,22.4000,21000
BAB,20180605,22.3000,22.3000,22.2000,22.2000,18000
BAB,20180606,22.3000,22.3000,22.3000,22.3000,15400
BAB,20180607,22.3000,22.3000,22.2000,22.2000,21900
BAB,20180608,22.3000,22.3000,22.2000,22.2000,22800
BAB,20180611,22.3000,22.3000,22.2000,22.2000,21000
