<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EIB,20091027,28.0000,29.9000,28.0000,29.0000,14130980
EIB,20091028,29.7000,29.8000,29.0000,29.3000,6561020
EIB,20091029,28.5000,29.0000,27.9000,28.2000,3970860
EIB,20091030,28.5000,28.6000,28.0000,28.2000,3723990
EIB,20091102,27.5000,27.7000,26.8000,27.4000,5989710
EIB,20091103,27.1000,27.5000,26.4000,26.5000,3297810
EIB,20091104,27.0000,27.1000,26.3000,26.5000,2791880
EIB,20091105,27.0000,27.5000,26.6000,27.3000,2980370
EIB,20091106,27.9000,27.9000,27.0000,27.0000,3057730
EIB,20091109,26.5000,26.9000,26.2000,26.4000,3593740
EIB,20091110,26.5000,26.7000,25.8000,25.9000,2749910
EIB,20091111,26.0000,26.5000,25.8000,26.5000,2148090
EIB,20091112,26.5000,26.8000,26.4000,26.5000,1890050
EIB,20091113,26.3000,26.5000,26.2000,26.5000,1842920
EIB,20091116,26.2000,26.5000,25.9000,25.9000,1965290
EIB,20091117,25.9000,25.9000,25.3000,25.3000,2059480
EIB,20091118,25.0000,25.1000,24.8000,25.0000,2541330
EIB,20091119,25.0000,25.6000,25.0000,25.4000,1896910
EIB,20091120,25.3000,25.4000,25.0000,25.0000,1462170
EIB,20091123,24.8000,24.9000,24.3000,24.3000,1601490
EIB,20091124,24.0000,24.3000,23.4000,23.4000,2915180
EIB,20091125,23.0000,23.0000,22.3000,22.3000,4320240
EIB,20091126,21.5000,21.9000,21.2000,21.2000,4072270
EIB,20091127,20.2000,22.2000,20.2000,22.2000,2414700
EIB,20091130,23.3000,23.3000,23.3000,23.3000,960250
EIB,20091201,24.4000,24.4000,24.4000,24.4000,509260
EIB,20091202,23.5000,25.5000,23.5000,24.3000,9790490
EIB,20091203,24.5000,25.0000,24.0000,24.9000,4989260
EIB,20091204,25.2000,25.2000,24.7000,24.9000,1836220
EIB,20091207,24.9000,24.9000,24.5000,24.6000,1524840
EIB,20091208,24.2000,24.4000,23.7000,23.8000,2401440
EIB,20091209,23.0000,23.2000,22.7000,22.9000,3143570
EIB,20091210,23.3000,23.3000,22.6000,22.8000,2183660
EIB,20091211,22.8000,22.9000,22.1000,22.1000,2898380
EIB,20091214,23.2000,23.2000,22.8000,23.2000,4458950
EIB,20091215,23.8000,24.1000,23.3000,23.8000,2988620
EIB,20091216,23.8000,23.8000,22.8000,22.9000,2577780
EIB,20091217,22.8000,23.6000,22.4000,23.5000,2894350
EIB,20091218,23.6000,24.3000,23.6000,23.8000,3820150
EIB,20091221,24.1000,24.4000,23.8000,24.4000,3973490
EIB,20091222,24.3000,24.4000,23.8000,24.0000,3874370
EIB,20091223,24.0000,24.2000,23.7000,23.9000,3508950
EIB,20091224,23.8000,24.2000,23.7000,24.1000,4181060
EIB,20091225,24.6000,24.8000,24.2000,24.7000,3364470
EIB,20091228,24.1000,24.6000,24.1000,24.3000,2973170
EIB,20091229,24.0000,24.3000,23.9000,23.9000,2220070
EIB,20091230,24.0000,24.3000,23.8000,23.9000,1656460
EIB,20091231,24.2000,24.3000,23.9000,24.0000,6441730
EIB,20100104,24.0000,25.2000,24.0000,25.2000,3521350
EIB,20100105,26.3000,26.4000,25.9000,26.1000,4561690
EIB,20100106,26.0000,26.0000,25.4000,25.5000,2756100
EIB,20100107,25.5000,25.6000,25.0000,25.0000,2586670
EIB,20100108,25.7000,25.9000,24.8000,24.8000,3831940
EIB,20100111,24.8000,25.0000,24.5000,24.7000,1292100
EIB,20100112,24.5000,24.8000,23.6000,23.6000,1951010
EIB,20100113,23.6000,24.1000,23.4000,23.9000,2102770
EIB,20100114,24.0000,24.1000,23.7000,23.8000,1124370
EIB,20100115,23.8000,24.0000,23.6000,23.8000,1396510
EIB,20100118,23.8000,23.8000,23.3000,23.3000,1991690
EIB,20100119,23.6000,23.9000,23.3000,23.6000,1376290
EIB,20100120,23.9000,23.9000,23.4000,23.5000,1566410
EIB,20100121,23.2000,23.6000,23.2000,23.2000,1350830
EIB,20100122,22.8000,23.3000,22.8000,23.0000,1177140
EIB,20100125,23.0000,23.1000,22.9000,23.0000,1593240
EIB,20100126,23.3000,24.0000,23.3000,24.0000,1772240
EIB,20100127,23.3000,23.8000,23.2000,23.7000,1513870
EIB,20100128,23.7000,23.7000,22.9000,23.1000,1362970
EIB,20100129,23.0000,23.2000,22.9000,23.0000,1339920
EIB,20100201,23.0000,23.2000,23.0000,23.0000,1085620
EIB,20100202,23.1000,23.2000,23.0000,23.1000,1423240
EIB,20100203,23.0000,23.3000,23.0000,23.1000,851530
EIB,20100204,23.1000,23.4000,23.1000,23.2000,614680
EIB,20100205,23.0000,23.2000,23.0000,23.0000,649670
EIB,20100208,22.9000,23.5000,22.9000,23.4000,992150
EIB,20100209,23.2000,23.4000,23.1000,23.1000,490930
EIB,20100210,23.0000,23.4000,23.0000,23.1000,380180
EIB,20100211,23.0000,23.5000,23.0000,23.5000,345620
EIB,20100212,23.8000,23.8000,23.5000,23.7000,481470
EIB,20100222,23.8000,23.9000,23.5000,23.7000,479220
EIB,20100223,23.4000,23.5000,23.2000,23.3000,353620
EIB,20100224,23.2000,23.2000,23.0000,23.2000,557970
EIB,20100225,23.2000,23.5000,23.0000,23.1000,414870
EIB,20100226,23.1000,23.2000,23.0000,23.1000,518750
EIB,20100301,23.5000,23.7000,23.4000,23.4000,1007300
EIB,20100302,23.5000,23.5000,23.1000,23.2000,455230
EIB,20100303,23.2000,23.4000,23.2000,23.4000,721890
EIB,20100304,23.5000,23.5000,23.2000,23.3000,990740
EIB,20100305,23.2000,23.3000,23.1000,23.1000,1202700
EIB,20100308,23.2000,23.3000,23.1000,23.1000,1633040
EIB,20100309,23.1000,23.2000,23.0000,23.1000,1539830
EIB,20100310,23.2000,23.2000,23.0000,23.0000,1149220
EIB,20100311,23.0000,23.2000,22.9000,22.9000,1318860
EIB,20100312,23.0000,23.1000,22.9000,23.0000,1235280
EIB,20100315,23.2000,23.3000,23.1000,23.2000,1646830
EIB,20100316,23.1000,23.3000,23.0000,23.2000,2133840
EIB,20100317,23.1000,23.3000,23.1000,23.2000,1758360
EIB,20100318,23.1000,23.2000,23.0000,23.0000,702920
EIB,20100319,23.0000,23.1000,22.9000,23.0000,2203370
EIB,20100322,23.0000,23.1000,22.8000,22.9000,1425770
EIB,20100323,23.0000,23.1000,22.9000,23.0000,1723230
EIB,20100324,23.0000,23.0000,22.9000,22.9000,1207450
EIB,20100325,22.9000,23.0000,22.8000,22.8000,2133360
EIB,20100326,22.7000,22.9000,22.7000,22.8000,1859080
EIB,20100329,22.5000,22.7000,22.3000,22.5000,734320
EIB,20100330,22.3000,23.3000,22.2000,23.3000,1106600
EIB,20100331,23.3000,23.4000,22.6000,23.4000,3879910
EIB,20100401,22.8000,23.3000,22.6000,23.1000,764630
EIB,20100402,23.0000,23.0000,22.6000,22.6000,319790
EIB,20100405,22.6000,22.8000,22.5000,22.6000,797780
EIB,20100406,22.6000,22.8000,22.5000,22.5000,407860
