<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EVF,20180807,7.7041,8.0123,6.1633,6.7026,465100
EVF,20180808,6.7026,8.0893,6.7026,7.3190,452721
EVF,20180809,7.6272,7.7813,6.6256,7.6271,256811
EVF,20180810,7.1649,7.6271,6.7026,6.7797,213435
EVF,20180813,7.3190,7.6272,6.5486,7.6271,608321
EVF,20180814,7.3960,7.4730,6.6256,6.9337,215585
EVF,20180815,7.2419,7.3189,6.6255,6.8567,301154
EVF,20180816,6.9337,7.2419,6.7797,6.9337,254405
EVF,20180817,6.9337,7.2419,6.7796,7.0108,232938
EVF,20180820,7.0878,7.1649,6.8567,6.8567,312731
EVF,20180821,7.0878,7.1649,6.6256,6.8567,286640
EVF,20180822,6.7797,7.0108,6.5485,6.7797,414933
EVF,20180823,6.9338,7.0879,6.7027,6.7797,170328
EVF,20180824,6.9338,8.0124,6.9338,7.0878,680649
EVF,20180827,7.0878,7.8582,6.9337,6.9337,403722
EVF,20180828,7.2419,7.3959,6.7796,6.9337,280578
EVF,20180829,6.8567,6.9337,6.7796,6.7797,68360
EVF,20180830,6.7797,6.9338,6.7027,6.9337,92124
EVF,20180831,6.7026,7.0878,6.7026,6.7797,181696
EVF,20180904,6.7797,6.7797,6.5486,6.7797,60537
EVF,20180905,6.7797,6.8567,6.3945,6.6256,168869
EVF,20180906,6.3174,6.7026,6.3174,6.4715,185740
EVF,20180907,6.5485,6.5485,6.2404,6.3945,164266
EVF,20180910,6.3945,6.3945,6.0863,6.1633,185593
EVF,20180911,6.0863,6.7026,5.7781,6.7026,370275
EVF,20180912,6.2404,6.4715,6.0863,6.1633,176225
EVF,20180913,6.2403,6.3174,6.1633,6.2404,198076
EVF,20180914,6.3174,6.6256,6.1634,6.3945,181152
EVF,20180917,6.5486,6.5486,6.2404,6.3174,151610
EVF,20180918,6.3174,6.3174,6.1633,6.2404,134994
EVF,20180919,6.1634,6.2404,6.0863,6.1633,196527
EVF,20180920,6.1633,6.1633,6.0863,6.1633,193494
EVF,20180921,6.2403,6.7026,6.1633,6.3945,360098
EVF,20180924,6.5486,6.9338,6.3175,6.3945,248609
EVF,20180925,6.5486,7.3960,6.5486,6.8567,493247
EVF,20180926,7.1649,7.3189,6.7026,6.9337,435407
EVF,20180927,7.2419,7.7041,6.9337,7.2419,728675
EVF,20180928,7.3189,7.7041,7.1649,7.3190,804080
EVF,20181001,7.3190,7.3190,6.7797,6.7797,40106
EVF,20181002,6.6256,6.7797,6.1634,6.6256,25267
EVF,20181003,6.6256,6.6256,6.4715,6.4715,29002
EVF,20181004,6.5485,6.7026,6.5485,6.5485,43844
EVF,20181005,6.6255,6.7796,6.5485,6.5485,91532
EVF,20181008,6.6255,6.7026,6.5485,6.6256,38167
EVF,20181009,6.5486,6.5486,6.3945,6.4715,50331
EVF,20181010,6.4715,6.4715,6.2404,6.2404,39090
EVF,20181011,6.2404,6.2404,6.0092,6.0092,77606
EVF,20181012,6.0862,6.0863,5.8551,6.0863,45531
EVF,20181015,6.0863,6.1633,6.0092,6.0092,20080
EVF,20181016,6.0092,6.1633,5.9322,6.1633,10972
EVF,20181017,6.1633,6.1633,5.9322,6.0863,19577
EVF,20181018,6.1633,6.1633,5.8552,5.8552,33983
EVF,20181019,5.7782,5.8552,5.7011,5.7011,13602
EVF,20181022,6.0093,6.0093,5.7781,5.7781,14386
EVF,20181023,5.6240,5.8552,5.6240,5.8552,29305
EVF,20181024,5.7011,5.7011,5.6240,5.6240,23053
EVF,20181025,5.2388,5.6240,5.2388,5.6240,8221
EVF,20181026,5.1618,5.4699,5.1618,5.3159,15270
EVF,20181029,5.3159,5.3159,5.0848,5.1618,24790
EVF,20181030,5.0077,5.2388,5.0077,5.2388,25566
EVF,20181031,5.2388,5.3159,4.7766,5.3159,45128
EVF,20181101,5.0848,5.1618,4.9307,4.9307,20600
EVF,20181102,5.0077,5.2389,4.8537,5.2388,86373
EVF,20181105,5.0847,5.2388,5.0847,5.0847,24718
EVF,20181106,5.0847,5.7010,5.0847,5.3159,15070
EVF,20181107,5.3929,5.4700,5.3159,5.3929,23000
EVF,20181108,5.3929,5.3929,5.3929,5.3929,5674
EVF,20181109,5.3159,5.3159,5.2388,5.2388,20155
EVF,20181112,5.0847,5.2388,5.0077,5.1618,22900
EVF,20181113,5.0077,5.0848,5.0077,5.0847,22247
EVF,20181114,5.0077,5.0077,4.9306,5.0077,15610
EVF,20181115,5.0077,5.0077,4.7766,4.8536,29351
EVF,20181116,4.6995,4.8536,4.6225,4.8536,13356
EVF,20181119,4.7766,4.9306,4.7766,4.8536,19264
EVF,20181120,4.8536,4.9307,4.8536,4.9307,11925
EVF,20181121,4.9307,4.9307,4.9307,4.9307,8900
EVF,20181122,5.1618,5.1618,4.6996,4.9307,24660
EVF,20181123,4.7766,4.8537,4.7766,4.7766,16990
EVF,20181126,4.7766,4.7766,4.6996,4.7766,11930
EVF,20181127,4.9307,4.9307,4.6225,4.6995,19500
EVF,20181128,4.6995,4.7765,4.6995,4.6995,10010
EVF,20181129,4.6225,4.6995,4.6225,4.6225,14065
EVF,20181130,4.6225,4.6225,4.5455,4.5455,7324
EVF,20181203,4.6225,4.6225,4.3144,4.3914,9619
EVF,20181204,4.2373,4.3144,4.1603,4.2373,60270
EVF,20181205,4.2373,4.3914,4.1603,4.3143,20140
EVF,20181206,4.3143,4.3143,4.2373,4.2373,34553
EVF,20181207,4.2373,4.3143,4.2373,4.3143,11600
EVF,20181210,4.2373,4.3913,4.2373,4.3143,22210
EVF,20181211,4.3143,4.3143,4.2373,4.3143,15951
EVF,20181212,4.2373,4.3143,4.2373,4.2373,33667
