<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LPB,20171005,14.8000,15.8000,13.5000,14.2000,7293500
LPB,20171006,14.2000,14.2000,13.6000,13.8000,1196846
LPB,20171009,13.8000,14.0000,13.7000,13.9000,1018740
LPB,20171010,13.9000,14.0000,13.6000,13.7000,1369264
LPB,20171011,13.8000,13.8000,12.9000,13.1000,1929895
LPB,20171012,13.1000,13.1000,12.5000,12.7000,1503890
LPB,20171013,12.5000,12.8000,12.1000,12.2000,1998290
LPB,20171016,12.1000,13.2000,12.0000,12.6000,2078341
LPB,20171017,12.7000,13.4000,12.7000,13.4000,2352646
LPB,20171018,13.3000,13.7000,13.3000,13.3000,1921054
LPB,20171019,13.3000,13.3000,12.9000,13.0000,1665342
LPB,20171020,13.1000,13.1000,12.8000,13.0000,716310
LPB,20171023,13.0000,13.0000,12.6000,12.6000,989690
LPB,20171024,12.6000,13.2000,12.5000,13.0000,2296792
LPB,20171025,13.0000,13.7000,13.0000,13.6000,4451160
LPB,20171026,13.5000,13.7000,13.4000,13.6000,4783279
LPB,20171027,13.5000,13.6000,13.4000,13.5000,917448
LPB,20171030,13.5000,13.5000,13.2000,13.3000,1155892
LPB,20171031,13.2000,13.2000,13.0000,13.0000,998097
LPB,20171101,13.1000,13.1000,12.9000,13.1000,1832620
LPB,20171102,13.1000,13.1000,12.9000,13.0000,1436565
LPB,20171103,13.0000,13.0000,12.7000,12.8000,1311510
LPB,20171106,12.6000,12.9000,12.5000,12.7000,1721340
LPB,20171107,12.8000,12.8000,12.4000,12.5000,3472406
LPB,20171108,12.6000,13.0000,12.5000,12.9000,3419190
LPB,20171109,12.9000,13.4000,12.9000,13.2000,2027331
LPB,20171110,13.1000,13.3000,13.0000,13.0000,2162571
LPB,20171113,13.1000,13.1000,12.8000,13.0000,1658710
LPB,20171114,7.8248,7.9480,7.5783,7.7632,1417790
LPB,20171115,7.5783,7.8864,7.5783,7.8864,1199023
LPB,20171116,7.8248,8.3177,7.8248,8.1944,3654576
LPB,20171117,8.1944,8.2561,7.9480,8.0096,1427771
LPB,20171120,8.0712,8.0712,7.8864,7.9480,1377090
LPB,20171121,8.0096,8.0712,7.8864,8.0096,1436020
LPB,20171122,7.8248,8.1328,7.8248,8.0712,2574539
LPB,20171123,8.1944,8.2561,8.0712,8.1328,2175399
LPB,20171124,8.1328,8.1944,8.0096,8.1944,2075370
LPB,20171127,8.1944,8.6257,8.1328,8.5641,5381683
LPB,20171128,8.5025,8.6873,8.3793,8.3793,7626825
