<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MSB,20201222,8.8757,8.8757,8.8757,8.8757,0
MSB,20201223,10.6508,10.6508,10.0295,10.0592,30431340
MSB,20201224,10.3551,10.3551,10.0000,10.2367,7683250
MSB,20201225,10.2367,10.9468,10.2367,10.9467,9311200
MSB,20201228,11.2426,11.2426,10.9467,11.0947,8600300
MSB,20201229,11.1539,11.2426,10.9468,11.2426,9680050
MSB,20201230,11.1834,11.2426,11.0059,11.1834,6435250
MSB,20201231,11.1242,11.1834,10.9763,11.1243,8721150
MSB,20210104,11.1243,11.1835,10.8876,11.1243,10019300
MSB,20210105,11.1243,11.1243,10.9172,11.1243,6425700
MSB,20210106,11.1539,11.5089,11.1243,11.4793,13781900
MSB,20210107,11.4793,11.8343,11.4201,11.8343,10025000
MSB,20210108,11.8343,12.2485,11.8343,12.1893,9146300
MSB,20210111,12.1893,12.2781,12.1301,12.2485,8229200
MSB,20210112,12.2485,12.2485,12.0710,12.1302,5232000
MSB,20210113,12.0414,12.0414,11.6864,11.7751,6368000
MSB,20210114,11.7751,11.7751,11.2426,11.7751,5747400
MSB,20210115,11.7751,11.8639,11.6272,11.8639,6096800
MSB,20210118,11.8639,11.8639,11.5976,11.5976,3836200
MSB,20210119,11.6272,11.6568,10.7988,10.9467,2760800
MSB,20210120,10.9467,11.0059,10.3254,10.9467,2122300
MSB,20210121,10.9467,11.0059,10.7988,10.9467,5980900
MSB,20210122,10.9763,11.0946,10.8579,11.0059,6146500
MSB,20210125,11.0059,11.0059,10.8284,10.8876,2317700
MSB,20210126,10.8876,10.8876,10.3551,10.7692,2076500
MSB,20210127,10.5917,10.6213,10.0591,10.2959,2240000
MSB,20210128,9.5858,10.0000,9.5858,9.5858,1906300
MSB,20210129,8.9349,10.0592,8.9349,10.0000,3033900
MSB,20210201,9.9408,9.9408,9.4083,9.8225,1864400
MSB,20210202,9.4675,9.9408,9.4675,9.7929,1491900
MSB,20210203,9.7041,10.3550,9.7041,10.3550,3625100
MSB,20210204,10.3550,10.3550,10.1183,10.2367,1112200
MSB,20210205,10.2367,10.2959,10.0000,10.2959,2465500
MSB,20210208,10.0592,10.2663,9.9113,10.0592,1467300
MSB,20210209,10.0592,10.3255,10.0000,10.2959,1715400
MSB,20210217,10.6509,10.6509,10.2959,10.6509,2077100
MSB,20210218,10.5326,10.6509,10.4438,10.5325,1880300
MSB,20210219,10.9467,10.9467,10.3846,10.9467,4718300
MSB,20210222,10.9171,11.1538,10.9171,11.1243,5623500
MSB,20210223,11.1243,11.2426,10.9172,11.2426,5946800
MSB,20210224,11.2722,11.3018,10.8876,11.2130,2317700
MSB,20210225,11.1834,11.1834,10.9171,11.0651,1531300
MSB,20210226,10.8876,11.0947,10.7101,11.0947,2349300
