<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NVB,20100913,11.0000,12.1000,11.0000,12.1000,69700
NVB,20100914,11.5000,11.8000,11.1000,11.1000,95000
NVB,20100915,10.6000,10.6000,10.5000,10.5000,153200
NVB,20100916,10.0000,10.6000,10.0000,10.5000,153400
NVB,20100917,10.0406,10.3275,10.0406,10.1363,34000
NVB,20100920,10.5188,10.5188,10.1363,10.1363,57900
NVB,20100921,10.1363,10.2319,9.9450,10.0406,28300
NVB,20100922,10.0406,10.0406,9.5625,9.5625,25800
NVB,20100923,9.8494,9.8494,9.2756,9.5625,55900
NVB,20100924,9.8494,9.9450,9.8494,9.8494,27400
NVB,20100927,10.0406,10.0406,9.7538,9.9450,14700
NVB,20100928,10.3275,10.3275,9.8494,9.8494,13800
NVB,20100929,10.0406,10.0406,9.7538,9.8494,22400
NVB,20100930,9.5625,9.7538,9.4669,9.5625,23500
NVB,20101001,10.0658,10.0658,9.8645,10.0658,8600
NVB,20101004,9.9651,9.9651,9.7638,9.8645,4500
NVB,20101005,9.8645,9.8645,9.3612,9.5625,38400
NVB,20101006,9.5625,9.7638,9.4618,9.7638,13300
NVB,20101007,9.6632,9.6632,9.3612,9.3612,52100
NVB,20101008,9.4618,9.4618,9.3612,9.4618,32900
NVB,20101011,9.4618,9.6632,9.4618,9.6632,12400
NVB,20101012,9.5625,9.6632,9.4618,9.5625,18000
NVB,20101013,9.5625,9.5625,9.4618,9.4618,5000
NVB,20101014,9.5625,9.5625,9.5625,9.5625,15200
NVB,20101015,9.5625,9.5625,9.2605,9.4618,15200
NVB,20101018,9.5625,9.7638,9.4618,9.4618,29900
NVB,20101019,9.5625,9.5625,9.3612,9.4618,16600
NVB,20101020,9.4618,9.4618,9.1599,9.3612,16000
NVB,20101021,9.3612,9.3612,9.2605,9.2605,5700
NVB,20101022,9.3612,9.3612,9.2605,9.2605,20600
NVB,20101025,9.2605,9.5625,9.0592,9.0592,15100
NVB,20101026,9.2605,9.2605,9.0592,9.0592,27900
NVB,20101027,9.2605,9.2605,8.9586,9.0592,12800
NVB,20101028,9.0592,9.0592,8.5559,8.6566,15800
NVB,20101029,8.7572,8.7572,8.4553,8.6566,37700
NVB,20101101,8.5559,8.5559,8.3546,8.4553,35900
NVB,20101102,8.4553,8.4553,8.0526,8.4553,133700
NVB,20101103,8.2539,8.4553,8.1533,8.3546,37900
NVB,20101104,8.3546,8.4553,8.3546,8.3546,33300
NVB,20101105,8.4553,8.5559,8.3546,8.5559,88600
NVB,20101108,8.5559,8.5559,8.2539,8.2539,19600
NVB,20101109,8.4553,8.4553,8.1533,8.1533,42000
NVB,20101110,8.3546,8.4553,8.1533,8.3546,17100
NVB,20101111,8.3546,8.3546,8.0526,8.2539,24600
NVB,20101112,8.2539,8.2539,8.0526,8.2539,17100
NVB,20101115,8.1533,8.1533,7.9520,7.9520,46900
NVB,20101116,8.0526,8.1533,8.0526,8.1533,22900
NVB,20101117,8.1533,8.2539,8.0526,8.0526,28100
NVB,20101118,8.1533,8.1533,8.0526,8.1533,28100
NVB,20101119,8.1533,8.1533,8.0526,8.1533,16500
NVB,20101122,8.1533,8.1533,8.0526,8.0526,9800
NVB,20101123,8.1533,8.2539,8.1533,8.1533,12700
NVB,20101124,8.2539,8.3546,8.2539,8.2539,10400
NVB,20101125,8.3546,8.7572,8.2539,8.4553,13400
NVB,20101126,8.5559,8.5559,8.2539,8.2539,19000
NVB,20101129,8.3546,8.4553,8.2539,8.4553,4900
NVB,20101130,8.5559,8.7572,8.4553,8.5559,27100
NVB,20101201,8.5559,8.5559,8.4553,8.4553,5800
NVB,20101202,8.4553,8.4553,8.1533,8.1533,25100
NVB,20101203,8.2539,8.8579,8.0526,8.8579,35300
NVB,20101206,9.2605,9.4618,9.0592,9.4618,49100
NVB,20101207,9.3612,9.3612,9.0592,9.0592,6500
NVB,20101208,8.6566,8.6566,8.5559,8.5559,53500
NVB,20101209,8.6566,8.6566,8.2539,8.2539,14500
NVB,20101210,8.4553,8.8579,8.4553,8.8579,10000
NVB,20101213,9.1599,9.2605,9.1599,9.2605,36100
NVB,20101214,9.8645,9.8645,9.8645,9.8645,83200
NVB,20101215,10.4684,10.4684,10.4684,10.4684,113000
NVB,20101216,11.1645,11.1645,10.4475,10.7548,305700
NVB,20101217,10.9597,11.1645,10.3451,10.8573,121800
NVB,20101220,10.7548,10.8573,10.3451,10.4475,38400
NVB,20101221,10.2427,10.3451,9.7306,9.9354,96500
NVB,20101222,9.9354,10.0378,9.2184,9.5257,54700
NVB,20101223,9.3208,9.5257,9.2184,9.5257,29000
NVB,20101224,9.3208,9.8330,9.3208,9.8330,32900
NVB,20101227,9.6281,9.7306,9.6281,9.6281,15800
