<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SHB,20071017,45.0000,45.0000,45.0000,45.0000,0
SHB,20071018,45.0000,45.0000,41.0000,41.0000,0
SHB,20071023,41.0000,41.0000,41.0000,41.0000,0
SHB,20071024,41.0000,41.0000,41.0000,41.0000,0
SHB,20071025,41.0000,41.0000,41.0000,41.0000,0
SHB,20071026,41.0000,53.0000,41.0000,53.0000,0
SHB,20071029,53.0000,53.0000,51.5000,51.5000,0
SHB,20071030,51.5000,51.5000,51.5000,51.5000,0
SHB,20071031,51.5000,51.5000,46.0000,46.0000,0
SHB,20071101,46.0000,46.0000,46.0000,46.0000,0
SHB,20071102,46.0000,46.0000,46.0000,46.0000,0
SHB,20071103,46.0000,47.0000,46.0000,47.0000,0
SHB,20071106,47.0000,47.0000,47.0000,47.0000,0
SHB,20071107,47.0000,47.0000,44.0000,44.0000,0
SHB,20071108,44.0000,44.5000,44.0000,44.5000,0
SHB,20071109,44.5000,44.5000,44.5000,44.5000,0
SHB,20071112,44.5000,44.5000,44.5000,44.5000,0
SHB,20071113,44.5000,44.5000,44.5000,44.5000,0
SHB,20071114,44.5000,44.5000,44.5000,44.5000,0
SHB,20071115,44.5000,44.5000,44.5000,44.5000,0
SHB,20071116,44.5000,44.5000,44.5000,44.5000,0
SHB,20071119,44.5000,44.5000,44.5000,44.5000,0
SHB,20071120,44.5000,44.5000,44.5000,44.5000,0
SHB,20071121,44.5000,44.5000,44.5000,44.5000,0
SHB,20071122,44.5000,44.5000,44.0000,44.0000,0
SHB,20071123,44.0000,44.0000,44.0000,44.0000,0
SHB,20071126,44.0000,44.0000,44.0000,44.0000,0
SHB,20071127,44.0000,44.0000,31.0000,31.0000,0
SHB,20071128,31.0000,31.0000,31.0000,31.0000,0
SHB,20071129,31.0000,32.5000,29.4000,31.0000,0
SHB,20071130,31.0000,32.0000,29.0000,31.0000,0
SHB,20071203,31.0000,32.0000,29.0000,31.0000,0
SHB,20071204,31.0000,32.0000,29.0000,31.0000,0
SHB,20071205,31.0000,32.0000,29.0000,31.0000,0
SHB,20071206,31.0000,32.0000,29.0000,31.0000,0
SHB,20071207,31.0000,32.0000,29.0000,31.0000,0
SHB,20071210,31.0000,32.0000,29.0000,31.4000,0
SHB,20071211,31.4000,32.0000,29.0000,31.4000,0
SHB,20071212,31.4000,32.0000,29.0000,31.4000,0
SHB,20071213,31.4000,32.0000,29.0000,31.4000,0
SHB,20071214,31.4000,32.0000,29.0000,31.4000,0
SHB,20071217,31.4000,32.0000,29.0000,31.4000,0
SHB,20071218,31.4000,32.0000,29.0000,31.4000,0
SHB,20071219,31.4000,32.0000,29.0000,31.4000,0
SHB,20071220,31.4000,32.0000,29.0000,31.4000,0
SHB,20071221,31.4000,32.0000,29.0000,31.4000,0
SHB,20071224,31.4000,32.0000,29.0000,31.4000,0
SHB,20071226,31.4000,32.0000,29.0000,31.4000,0
SHB,20080102,31.4000,32.0000,29.0000,31.4000,0
SHB,20080103,31.4000,32.0000,29.0000,31.4000,0
SHB,20080104,31.4000,32.0000,29.0000,31.4000,0
SHB,20080107,31.4000,32.0000,29.0000,31.4000,0
SHB,20080108,31.4000,32.0000,29.0000,31.4000,0
SHB,20080109,31.4000,32.0000,29.0000,31.4000,0
SHB,20080110,31.4000,31.4000,30.0000,30.5000,0
SHB,20080111,30.5000,31.0000,30.0000,30.5000,0
SHB,20080114,30.5000,31.0000,30.0000,30.5000,0
SHB,20080115,30.5000,30.5000,25.0000,28.0000,0
SHB,20080116,28.0000,30.0000,25.0000,28.0000,0
SHB,20080117,28.0000,30.0000,25.0000,28.0000,0
SHB,20080118,28.0000,30.0000,25.0000,28.0000,0
SHB,20080121,28.0000,30.0000,25.0000,28.0000,0
SHB,20080122,28.0000,30.0000,25.0000,28.0000,0
